18:27:54:544 [ALWAYS]	GUDE Logging Started
18:27:54:567 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
18:27:54:567 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
18:27:54:567 [ERROR]	Initialize resume cache pointer failure
18:27:54:568 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
18:27:54:568 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
18:27:57:244 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
18:27:57:244 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
18:27:57:244 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
18:27:57:244 [ERROR]	Initialize resume cache pointer failure
18:27:57:244 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
18:27:57:244 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
